Title,Price,Product-SKU,Product-Barcode,Colors,Sizes,URL
,"Rs.4,490",0131835,MSKM2526105,Off White,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm2526105
,"Rs.4,990",0132777,MSKM251033,Navy,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm251033
,"Rs.4,490",0132832,MSKM2526108,Brown,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm2526108
,"Rs.4,490",0132742,MSKM2526120,Indigo,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm2526120
,"Rs.4,990",0131870,MSKMS25011,Off-White,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskms25011
,"Rs.4,490",0134685,MSKM2526102,Grey,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm2526102
,"Rs.4,990",0134690,MSKMS25016,Navy,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskms25016
,"Rs.4,990",0136346,MSKMS252697,Indigo,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskms252697
,"Rs.4,290",0131900,MSKC25102,Light Grey,"S,M,L,XL",https://zellbury.com/products/comfort-cotton-shalwar-kameez-mskc25102
,"Rs.4,490",0136411,MSKM252677,Black,"S,M,L,XL",https://zellbury.com/products/marvel-shalwar-kameez-mskm252677
